ValidMSE,LearningRate,HiddenUnits,MaxEpoch,ExampleSize,DomainLambda,TrainMSE,ValidDomainloss,TrainDomainloss
0.010899301146957,1,4,100,3812,10,0.0018884504536377,27.631021115928,27.631021115928
0.010861165270469,1,4,100,3863,10,0.0018924567627466,27.631021115928,27.631021115928
0.010910559072974,1,4,100,3914,10,0.0018992166190561,27.631019840365,27.631019842135
0.011184387921032,1,4,100,3965,10,0.0019171042588536,27.631021115928,27.631021115928
0.011022190071377,1,4,100,4016,10,0.001916082058153,27.631021115928,27.631021115928
0.010872235925735,1,4,100,4067,10,0.0019148827511155,24.516424506688,24.516436689593
0.010838753728708,1,4,100,4118,10,0.0019189044161122,27.631021115928,27.631021115928
0.010790092393713,1,4,100,4169,10,0.001924231008514,27.631021115928,27.631021115928
0.010623182137758,1,4,100,4220,10,0.00192699882515,27.625652564705,27.625652692177
0.010803972276745,1,4,100,4271,10,0.0019420628130127,27.631021115928,27.631021115928
0.010498397636557,1,4,100,4322,10,0.0019470987289818,27.631021115928,27.631021115928
0.010622683235987,1,4,100,4373,10,0.0019471319425471,27.074694535384,27.074687702255
0.010318867472124,1,4,100,4424,10,0.0019540657827456,5.7740637367474,5.7740637275174
0.01056256332902,1,4,100,4475,10,0.0019609526542023,15.847945637154,15.847932538892
0.010474259484886,1,4,100,4526,10,0.0019762512201538,27.631021115928,27.631021115928
0.010328526843892,1,4,100,4577,10,0.0019736454201317,27.631021115928,27.631021115928
0.010219076967035,1,4,100,4628,10,0.0019811394508106,27.631021115928,27.631021115928
0.010077712761666,1,4,100,4679,10,0.0020056821015069,27.631021115928,27.631021115928
0.010249123159046,1,4,100,4730,10,0.0020369110594327,27.631021115928,27.631021115928
0.010079765510101,1,4,100,4781,10,0.0020526189686832,27.576365061161,27.576365061162
0.0098301025046368,1,4,100,4832,10,0.0020821495048885,27.631021115928,27.631021115928
0.010046556642795,1,4,100,4883,10,0.0021157850297949,27.631021115928,27.631021115928
